datetime,low,high,open,close,volumefrom,volumeto
2013-11-18,521.98,787.93,528.3,785.43,72071.71,45461600.44
2013-11-19,502.61,900.92,785.43,645.69,99101.83,69095497.89
2013-11-20,453.29,649.99,645.69,637.97,91594.45,50748177.23
2013-11-21,595.19,784.32,637.97,764.91,38732.06,27128283.04
2013-11-22,682.28,821.99,764.91,802.0,30150.23,22686962.77
2013-11-23,799.54,890.03,802.0,832.5,21314.0,17908081.43
2013-11-24,745.21,854.99,832.5,795.01,25948.64,20776035.16
2013-11-25,758.95,849.99,795.01,829.99,26381.41,21438670.96
2013-11-26,825.08,974.96,829.99,969.96,31613.86,28285852.13
2013-11-27,914.27,1094.78,969.96,1079.89,37859.08,37868643.04
2013-11-28,1032.06,1224.48,1079.89,1101.38,37396.83,42912383.44
2013-11-29,1049.96,1241.92,1101.38,1206.93,38706.56,45030632.96
2013-11-30,1150.16,1232.94,1206.93,1205.66,15096.04,18266602.22
2013-12-01,840.27,1216.84,1205.66,1004.39,79921.89,83244488.59
2013-12-02,974.97,1117.73,1004.39,1096.56,37044.53,39234863.12
2013-12-03,1064.91,1185.63,1096.56,1154.86,19341.01,21865760.51
2013-12-04,1131.35,1239.7,1154.86,1237.55,16296.85,19409766.71
2013-12-05,869.99,1239.86,1237.55,1106.35,58443.73,62292919.16
2013-12-06,800.07,1118.93,1106.35,845.02,53517.57,50747162.61
2013-12-07,576.03,895.96,845.02,697.02,97662.51,70727083.16
2013-12-08,653.03,828.96,697.02,803.96,31210.25,23044397.34
2013-12-09,787.73,980.03,803.96,918.95,27625.6,24553208.51
2013-12-10,911.96,1067.7,918.95,1033.72,22103.22,21734994.03
2013-12-11,856.06,1056.76,1033.72,919.93,24360.35,23051224.54
2013-12-12,839.51,940.98,919.93,899.98,9913.21,8798283.62
2013-12-13,882.11,989.89,899.98,936.77,17372.49,16173632.88
2013-12-14,875.11,947.93,936.77,908.94,11589.8,10532106.73
2013-12-15,837.98,927.9,908.94,919.88,15165.03,13302074.9
2013-12-16,714.03,924.94,919.88,759.92,41325.66,32899151.97
2013-12-17,678.88,779.96,759.92,714.97,31714.24,22933905.57
2013-12-18,454.86,716.99,714.97,540.98,110503.1,62529030.46
2013-12-19,522.44,745.96,540.98,731.95,45761.94,29980041.32
2013-12-20,621.25,774.39,731.95,649.96,34767.79,24291048.02
2013-12-21,610.0,690.0,649.96,640.48,14728.3,9550420.56
2013-12-22,614.95,699.91,640.48,639.49,11630.96,7693603.71
2013-12-23,631.01,724.92,639.49,713.24,15066.3,10210388.76
2013-12-24,665.98,729.94,713.24,702.75,10945.64,7647250.76
2013-12-25,673.93,709.95,702.75,707.25,5343.91,3721814.74
2013-12-26,707.21,829.63,707.25,801.98,23529.7,18209291.31
2013-12-27,767.87,836.83,801.98,803.05,13884.58,11073604.45
2013-12-28,715.6,805.97,803.05,761.99,13341.62,10127883.44
2013-12-29,734.98,803.95,761.99,784.96,7035.87,5448579.59
2013-12-30,780.96,818.83,784.96,804.83,10482.78,8411786.62
2013-12-31,776.96,813.94,804.83,805.94,9167.06,7294004.88
2014-01-01,770.97,829.93,805.94,815.94,10757.23,8663855.98
2014-01-02,810.47,886.21,815.94,856.91,12811.63,10826907.96
2014-01-03,839.44,888.23,856.91,884.26,9709.01,8409629.11
2014-01-04,848.32,932.16,884.26,924.69,14239.01,12784626.88
2014-01-05,911.36,1029.86,924.69,1014.74,21374.2,20789364.52
2014-01-06,964.74,1093.44,1014.74,1012.65,23076.53,23622237.65
2014-01-07,879.85,1043.98,1012.65,879.9,22665.1,21753921.59
2014-01-08,858.9,966.9,879.9,938.84,14094.75,12942254.98
2014-01-09,866.55,964.64,938.84,936.95,14414.95,13202619.46
2014-01-10,905.88,964.84,936.95,957.76,6351.48,5909107.79
2014-01-11,935.0,1010.84,957.76,1005.32,11181.63,10948175.25
2014-01-12,922.07,1022.67,1005.32,939.79,9931.11,9620090.09
2014-01-13,879.94,949.24,939.79,922.91,10132.38,9220891.88
2014-01-14,904.19,942.47,922.91,919.28,4311.64,3960633.47
2014-01-15,915.06,973.09,919.28,941.22,6828.58,6448062.43
2014-01-16,910.5,955.53,941.22,913.49,5103.29,4720008.07
2014-01-17,867.22,929.75,913.49,894.16,10312.23,9203107.31
2014-01-18,884.74,924.74,894.16,905.72,6040.91,5493742.6
2014-01-19,901.88,958.07,905.72,954.8,7571.24,7071649.38
2014-01-20,925.96,980.54,954.8,955.95,10406.31,9981282.97
2014-01-21,943.18,974.25,955.95,962.21,6584.71,6289022.19
2014-01-22,934.95,973.94,962.21,950.95,4783.86,4503428.34
2014-01-23,936.27,958.06,950.95,944.16,1973.42,1839615.29
2014-01-24,902.89,949.52,944.16,916.55,6197.18,5684047.02
2014-01-25,915.86,978.41,916.55,961.05,8181.23,7797108.54
2014-01-26,950.66,1038.06,961.05,1007.0,13073.84,13054605.53
2014-01-27,937.23,1021.45,1007.0,943.54,8327.15,8052715.48
2014-01-28,911.65,972.61,943.54,932.68,10406.15,9757613.92
2014-01-29,918.86,950.56,932.68,925.67,5678.19,5254878.58
2014-01-30,909.46,953.24,925.67,941.39,5425.21,5026461.81
2014-01-31,924.59,954.71,941.39,938.85,4310.07,4024749.63
2014-02-01,927.8,969.19,938.85,940.42,4364.51,4118865.67
2014-02-02,934.41,959.38,940.42,953.31,1583.28,1495327.62
2014-02-03,931.67,959.58,953.31,931.71,2790.11,2601784.11
2014-02-04,900.76,949.1,931.71,926.64,4608.88,4250751.67
2014-02-05,890.05,939.75,926.64,904.52,7558.29,6865987.27
2014-02-06,800.93,908.77,904.52,828.87,18599.16,15719958.05
2014-02-07,651.73,833.07,828.87,695.65,49906.75,36412212.3
2014-02-08,632.08,719.26,695.65,648.78,22876.3,15503790.63
2014-02-09,622.53,694.12,648.78,659.57,19884.9,13186251.81
2014-02-10,500.04,700.04,659.57,582.63,40130.05,24334044.2
2014-02-11,550.22,609.71,582.63,578.96,16725.92,9621820.7
2014-02-12,511.9,585.12,578.96,531.13,21301.39,11628634.59
2014-02-13,451.33,549.2,531.13,451.44,28942.07,14394464.14
2014-02-14,302.18,500.03,451.44,427.68,65819.68,25084223.33
2014-02-15,310.08,447.94,427.68,371.07,50617.35,18299075.74
2014-02-16,220.37,540.03,371.07,299.8,86180.34,26267622.78
2014-02-17,263.36,411.21,299.8,272.28,51439.43,16532226.28
2014-02-18,248.31,370.12,272.28,293.95,48878.18,14130126.78
2014-02-19,257.24,308.63,293.95,261.53,31501.97,8618299.81
2014-02-20,109.22,271.61,261.53,111.92,102183.77,16608347.18
2014-02-21,91.66,160.15,111.92,111.56,82590.48,10115923.16
2014-02-22,96.72,290.59,111.56,255.59,72170.05,11838225.02
2014-02-23,220.31,349.15,255.59,310.17,38549.76,11158706.83
2014-02-24,131.85,316.88,310.17,174.0,95118.82,17929284.9
2014-02-25,102.33,174.64,174.0,135.78,30426.23,3993023.8
2014-02-26,522.84,650.0,135.78,593.14,602.49,383571.24
2014-02-27,580.5,629.9,593.14,596.49,497.8,322887.36
2014-02-28,570.0,599.0,596.49,573.94,505.86,321170.16
2014-03-01,262.77,564.07,573.94,557.39,404.38,250331.34
2014-03-02,541.54,562.93,557.39,544.56,826.76,469498.62
2014-03-03,545.42,695.44,544.56,662.18,1263.06,794976.61
2014-03-04,645.16,686.22,662.18,661.85,1365.98,947328.84
2014-03-05,636.77,665.97,661.85,658.3,1259.48,855787.67
2014-03-06,636.22,661.83,658.3,648.26,2067.16,1367401.19
2014-03-07,600.31,655.2,648.26,616.73,2336.74,1498290.21
2014-03-08,588.58,625.68,616.73,609.21,2166.01,1335982.88
2014-03-09,598.51,637.6,609.21,627.05,1950.45,1209993.27
2014-03-10,594.7,633.68,627.05,612.97,2627.73,1648979.94
2014-03-11,599.92,619.7,612.97,608.69,2432.39,1520733.14
2014-03-12,608.2,640.79,608.69,619.43,3194.67,2022394.16
2014-03-13,616.06,636.13,619.43,625.04,3410.64,2168407.82
2014-03-14,610.61,631.23,625.04,614.03,4001.32,2514218.73
2014-03-15,609.18,628.83,614.03,624.03,3461.06,2168732.02
2014-03-16,613.17,627.28,624.03,619.14,3296.37,2055390.73
2014-03-17,602.74,622.49,619.14,606.38,3576.51,2227123.89
2014-03-18,585.66,611.72,606.38,598.93,3654.27,2234320.09
2014-03-19,590.14,607.08,598.93,594.96,3579.25,2164735.67
2014-03-20,560.35,598.41,594.96,565.99,4241.08,2471474.64
2014-03-21,540.22,587.42,565.99,549.6,3822.85,2173864.98
2014-03-22,537.16,569.96,549.6,564.34,3765.57,2078360.18
2014-03-23,538.63,564.32,564.34,551.16,4134.15,2286135.32
2014-03-24,531.27,572.52,551.16,567.56,3668.42,2024402.74
2014-03-25,550.43,569.66,567.56,562.89,3866.46,2172190.32
2014-03-26,546.26,575.42,562.89,562.45,3704.69,2087611.57
2014-03-27,460.45,567.75,562.45,460.45,3782.96,2010894.71
2014-03-28,453.75,514.95,460.45,482.61,4113.87,2022261.85
2014-03-29,473.78,494.28,482.61,477.11,4284.5,2087784.21
2014-03-30,424.03,479.04,477.11,446.92,3860.41,1769770.42
2014-03-31,422.49,473.43,446.92,444.66,4149.05,1850592.76
2014-04-01,438.03,487.35,444.66,463.45,3969.98,1845836.41
2014-04-02,409.25,480.27,463.45,424.37,4382.38,2004152.9
2014-04-03,386.67,448.74,424.37,436.31,4022.93,1708540.89
2014-04-04,415.51,456.46,436.31,444.36,2565.03,1127311.11
2014-04-05,439.37,461.17,444.36,456.63,1158.02,529964.03
2014-04-06,446.3,472.38,456.63,455.69,3591.85,1644846.68
